id,lat,lon
26343896,51.2131373,3.2311164
26343897,51.2129528,3.2315281
26343898,51.2127262,3.2320433
26343899,51.212541,3.2324791
26343900,51.2123594,3.2330147
26343901,51.2122046,3.2336344
26343902,51.2123069,3.2346761
26343903,51.2123696,3.2347663
26343904,51.212534,3.2352901
26343905,51.2130669,3.2364726
26343906,51.2133889,3.2372275
26343907,51.2137655,3.2383268
26343908,51.2138569,3.2386919
26343909,51.2125188,3.2398424
26343910,51.2131672,3.2393883
26343911,51.2126809,3.2407365
26343912,51.2146847,3.2397007
26343913,51.2161912,3.2386907
26343914,51.2193456,3.2360696
26343915,51.2202816,3.2352429
26343923,51.2223528,3.2270808
26343927,51.2124869,3.2389192
26343929,51.212455,3.238505
26343930,51.2118064,3.2375346
26343931,51.2112202,3.2365572
26343933,51.2099304,3.234423
26343934,51.2096607,3.2336531
26343935,51.2096227,3.2333464
26343936,51.2096688,3.2323525
26343937,51.2097349,3.2314832
26343939,51.2124851,3.2386612
26343940,51.2002512,3.228621
26343941,51.1995681,3.2297726
26343942,51.199964,3.2278834
26343946,51.2004371,3.2305361
26343947,51.2006444,3.2310629
26343948,51.2008408,3.2313987
26343949,51.2010557,3.2317568
26343950,51.2012141,3.2323194
26343951,51.2013502,3.2325836
26343952,51.2016044,3.2328149
26343953,51.2019233,3.2331301
26343954,51.2027405,3.2341151
26343955,51.2028824,3.2342729
26343956,51.2034242,3.2351315
26343957,51.2033937,3.2351758
26343958,51.20374,3.2357653
26343959,51.2040398,3.2361105
26343960,51.2042297,3.2362776
26343961,51.2044016,3.2363554
26343962,51.2053475,3.2371126
26343963,51.2092495,3.2321287
26343964,51.2089128,3.2327399
26343966,51.2085683,3.2332348
26343967,51.2081757,3.233934
26343968,51.2075549,3.234521
26343970,51.2058819,3.2361051
26343971,51.2098295,3.2309207
26343972,51.2097882,3.2311071
26343973,51.2219299,3.2269026
26343974,51.2215399,3.2268007
26343975,51.2211258,3.2264851
26343976,51.2210191,3.2262502
26343977,51.2209057,3.2254556
26343978,51.2205603,3.2239252
26343980,51.2199059,3.2225866
26343981,51.2189644,3.2212289
26343982,51.2181563,3.2202656
26343984,51.2149107,3.2160363
26343985,51.2145413,3.2157259
26343986,51.2140616,3.2154302
26343988,51.2116853,3.21438
26343989,51.2106752,3.2140976
26343990,51.2101456,3.2141466
26343991,51.2094446,3.214124
26343992,51.2001287,3.2274239
26343993,51.2003901,3.2271359
26343996,51.2095672,3.2314697
26343997,51.2093015,3.2308211
26343998,51.2016405,3.224702
26344001,51.2010652,3.2243718
26344002,51.2005863,3.2240131
26344004,51.2195073,3.221977
26344006,51.2211404,3.2217296
26344008,51.2195973,3.2218215
26344009,51.2224917,3.2232413
26344332,51.2041768,3.2222017
26344337,51.2050369,3.2211084
26344338,51.2045441,3.2229924
26344339,51.204111,3.2236891
26344340,51.2050319,3.2240731
26347690,51.1991523,3.2195319
26347692,51.202028,3.2251186
26347695,51.2010712,3.2264226
26347700,51.2027857,3.2255761
26349092,51.2136994,3.2314889
26349094,51.2122742,3.2348037
26349097,51.2145996,3.2382683
26349112,51.2098645,3.2307053
26349113,51.209892,3.2304877
26349115,51.2096852,3.2318265
26349116,51.2056389,3.2373756
26349120,51.2106128,3.2322508
26349121,51.2110526,3.2328283
26349122,51.2117198,3.2334362
26349123,51.2118703,3.2335032
26349125,51.2102896,3.2321179
26362453,51.2061473,3.2213824
26362455,51.2094472,3.2274209
26362456,51.2096218,3.2271097
26362457,51.209619,3.227034
26362458,51.2096119,3.2269371
26362465,51.2090737,3.2290364
26362468,51.2087999,3.2292737
26363593,51.2200525,3.2225914
26363594,51.2080781,3.2132664
26363596,51.221252,3.2260544
26363597,51.2046815,3.2129818
26363600,51.2100969,3.2127492
26363602,51.2170301,3.2283311
26363603,51.2022964,3.2136713
26363607,51.2031124,3.2136887
26363609,51.2102543,3.2262036
26363611,51.2122814,3.2278644
26363613,51.2127405,3.221867
